claim_id,group,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
Q-S02-01,2,The retained Hippodrome monuments included a golden tripod.,51,51,contradicted,major,Oman says the golden tripod had been stolen six centuries earlier. The serpent pedestal and its inscriptions survived.
Q-S02-02,2,The Milion stood near chapels along the eastern wall.,52,"51,52",citation_error,moderate,The detail is on PDF 51. PDF 52 contains the illustration caption Building a Palace.
Q-S02-03,2,Constantine added a porphyry column with an adapted Apollo statue.,52,"51,52",citation_error,moderate,The detail is on PDF 51. PDF 52 is an illustration.
Q-S02-04,2,Constantine chose Byzantium in 328 or 329 and consecrated it on 11 May 330.,55,"54,55",citation_error,moderate,Both dates appear on PDF 54; PDF 55 continues the dedication account. The summary preserves uncertainty between 328 and 329.
Q-S02-05,2,TheodosiusII succeeded as a child under Pulcheria’s regency.,81,"80,81",chronology_compression,moderate,Pulcheria assumed the regency after Anthemius died in 414. The summary compresses away the initial regency.
Q-S02-06,2,The excerpt does not detail Justinian’s subsequent western campaigns or legal reforms.,,"98,99,100",supported_excerpt_limit,none,The supplied section introduces those topics but ends during Belisarius’s early career. Do not misclassify this partial-excerpt limitation as a full-book absence claim.
Q-S02-07,2,Zeno sent Theodoric and the Ostrogoths to Italy in 488.,90,90,supported,none,"Source says Zeno offered Italy if Theodoric conquered it from Odoacer, with authority subsequently nominal."
Q-S02-08,2,"Theodosius enlisted Goths, placing substantial military power in German hands.","68,69","68,69",supported_with_citation_drift,moderate,"PDF 68 supports enlistment and describes 40,000 Teutonic horsemen as the strongest part of the army. PDF 69 is an illustration, not support for the political-power sentence."
Q-S03-01,3,Belisarius defeated the Vandals at Tricameron and captured Carthage.,111,111,chronology_error,major,Carthage fell after an earlier battle. Tricameron followed Gelimer’s renewed advance on the already captured city.
Q-S03-02,3,"Approximately 35,000 men died suppressing the Nika riot.",106,106,qualification_loss,moderate,"Oman reports a claimed total across six days, with explicit it-is-said qualification. This wording is less narrowly wrong than Gemma’s Hippodrome-only claim."
Q-S03-03,3,Narses defeated Baduila in 553; the Gothic remnant left Italy.,121,121,supported,none,"These details match this source, regardless of dates in other historical accounts."
Q-S03-04,3,"Theodora died in 548, isolating Justinian.",130,"129,130",citation_error,moderate,Death and the qualified explanation of diminished energy occur on PDF 129. PDF 130 continues Belisarius’s recall and the Hunnic raid.
Q-S04-01,4,"Heraclius, exarch of Africa, revolted and then captured the throne.","156,157",156,identity_conflation,major,The aged exarch dispatched his namesake son. Heraclius the younger led the fleet and overthrew Phocas.
Q-S04-02,4,Justinian II provoked war with Persia over coinage.,200,200,wrong_opponent,major,"The passage concerns Abdalmalik, the Saracens, and the Caliph’s army. Persia is not the opponent."
Q-S05-01,5,Tiberius exiled Leontius to Cherson after mutilating him.,203,203,identity_conflation,major,Leontius was confined in a monastery. The following paragraph assigns exile at Cherson to Justinian II.
Q-S05-02,5,Justinian escaped exile by killing two Khazar chiefs.,204,"203,204",chronology_compression,moderate,"He first escaped Cherson, then found refuge with the Khazars. Killing two officers enabled a subsequent escape. The summary removes that distinction."
Q-S05-03,5,Leo argued image worship was superstitious and influenced by Islam.,"217,218","217,218",causal_attribution_error,major,Oman connects Islamic influence with opposition to image worship. The summary attaches it to the worship practices themselves and frames the interpretation as Leo’s argument.
Q-S05-04,5,The Iconoclastic controversy stimulated painting.,250,250,qualification_loss,moderate,Oman presents this connection as an interpretation with It seems. The summary states it directly.
Q-S06-01,6,Alexius secured a Norman defeat at Durazzo.,287,287,battle_outcome_reversal,critical,Alexius lost at Durazzo; his later victory was at Larissa in 1083. The source distinguishes these outcomes explicitly.
Q-S06-02,6,"By Basil’s death in 1025, Byzantine borders reached their greatest extent.",270,270,supported_as_source_claim,none,Oman expressly makes this claim. Do not penalize the model by silently replacing the source’s historical framing with outside knowledge.
Q-S06-03,6,The Macedonian dynasty ended with Theodora in 1057.,274,274,supported_as_source_date,none,This is the date printed in the supplied source. It must not be silently corrected from memory during a source-faithfulness audit.
Q-S07-01,7,Michael blinded John IV before the narrative recounts Constantinople’s recovery.,330,"329,330,331",supported_source_sequence,none,This follows Oman’s presentation; external dating is not grounds for a source-faithfulness penalty.
Q-S07-02,7,Ottoman emirs conquered most Byzantine Asia Minor by 1325.,345,345,political_identity_conflation,major,Oman names five separate Seljouk leaders. Othman is one among them. The summary collapses these principalities into Ottoman emirs.
Q-S08-01,8,Cantacuzenus declared himself emperor in 1347.,352,"351,352,354",chronology_error,major,"PDF 352 dates no declaration. PDF 354 assigns 1347 to peace after six years of war, not the initial declaration."
Q-S08-02,8,Mohammed struck down the Delphic tripod.,"375,376","375,376",scope_exaggeration,moderate,Oman says he struck away one snake’s jaws. The summary implies destruction of the monument.
Q-S08-03,8,The minor heir of Andronicus III was John V.,351,"351,356",unflagged_source_conflict,moderate,"PDF 351 names John III; PDF 356 names John V. Choosing the latter is not itself historically penalized, but the supplied source conflict is not acknowledged."
Q-S03-05,3,The failed execution of three rioters triggered the uprising.,102,102,count_error,moderate,"Three were selected for hanging, but only two fell alive and survived the bungled execution."
