claim_id,output,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
QT-F-001,book-final-summary,The author explicitly rejects Edward Gibbon negative assessment of the Eastern Roman Empire.,PDF p. 3,"3,13",citation_error,major,The preface is on physical PDF 13; PDF 3 contains library markings.
QT-F-002,book-final-summary,Two monumental historical works eventually corrected English readers regarding the Byzantine realm.,PDF p. 3,"3,13",citation_error,major,"Finlay and Bury's corrective works are discussed on PDF 13, not 3."
QT-F-003,book-final-summary,The text explicitly acknowledges intellectual debts to George Finlay and John Bury.,PDF p. 4,"4,13,14",citation_error,major,Acknowledgment spans PDF 13-14; physical PDF 4 contains no supporting prose.
QT-F-004,book-final-summary,The narrative emphasizes Byzantine military defense against Saracen expansion.,PDF p. 3,"3,13",citation_error,major,"Saracen defense is a preface theme on PDF 13, not 3."
QT-F-005,book-final-summary,The author also highlights the preservation of classical learning during this period.,PDF p. 3,"3,13",citation_error,major,"Preservation of learning is on PDF 13, not 3."
QT-F-006,book-final-summary,Megarian colonists originally established the settlement over two and a half millennia ago.,PDF p. 27,27,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-007,book-final-summary,These merchants actively pursued commercial control over vital Black Sea routes.,PDF p. 30,30,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-008,book-final-summary,The peninsula offered unmatched strategic advantages for eastern governance and imperial defense.,PDF p. 30,"29,30",supported_interpretation,minor,Military and commercial advantages are explicit; eastern governance generalizes the source.
QT-F-009,book-final-summary,The city maintained political freedom during its first three hundred years.,PDF p. 31,31,qualification_lost,major,Oman explicitly excepts thirty years under Persian kings from the first three hundred years of freedom.
QT-F-010,book-final-summary,Roman administration eventually stripped its autonomous status under Emperor Vespasian.,PDF p. 34,34,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-011,book-final-summary,A prolonged siege ultimately destroyed the settlement under Emperor Severus in nineteen hundred and ninety-six.,PDF p. 35,35,chronology_error,critical,Source reads AD 196. The final repeats the intermediate summary's nineteen hundred and ninety-six.
QT-F-012,book-final-summary,Constantine unified the Roman world after defeating Licinius near the city walls.,PDF p. 38,38,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-013,book-final-summary,He required a centralized administrative hub near the Danube frontier.,PDF p. 41,"41,42",citation_error,minor,The direct Danube-location requirement is on PDF 42; PDF 41 provides the broader problem.
QT-F-014,book-final-summary,Rome proved geographically inconvenient for military campaigns and eastern governance.,PDF p. 41,41,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-015,book-final-summary,Constantine selected the fortified Megarian settlement for its strategic commercial advantages.,PDF p. 43,43,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-016,book-final-summary,The new capital served simultaneously as an imperial residence and trading center.,PDF p. 41,41,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-017,book-final-summary,"He consecrated the city on May 11, 330, dedicating it to Christian worship.",PDF p. 55,"54,55",citation_error,moderate,The date is on PDF 54. PDF 55 supports the Christian dedication.
QT-F-018,book-final-summary,The imperial government distributed free grain to attract settlers and maintain civic stability.,PDF p. 55,55,unsupported_motive,moderate,"Attracting immigrants is explicit. Maintaining civic stability is added as a motive, while Oman calls the grant demoralizing."
QT-F-019,book-final-summary,"Documents styled the metropolis as New Rome, though residents used its founder name.",PDF p. 56,56,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-020,book-final-summary,The expanded plan encompassed the entire peninsula and seven distinct hills.,PDF p. 44,44,qualification_lost,moderate,The all-seven-hills boundary occurs within the account introduced as a later legend.
QT-F-021,book-final-summary,Officials constructed the Milion milestone to measure eastern imperial distances.,PDF p. 45,45,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-022,book-final-summary,The massive Hippodrome fostered intense rivalry between the Blues and Greens.,PDF p. 48,48,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-023,book-final-summary,These sporting factions frequently influenced political appointments and public order.,PDF p. 48,48,overbroad,minor,Political faction involvement is supported; frequent influence over appointments is more specific than this page.
QT-F-024,book-final-summary,The narrative traces severe political instability following Theodosius death in the year 395.,PDF p. 70,"70,73",supported_with_locator_drift,minor,PDF 70 gives Theodosius's death and weak successors; factional instability is developed on PDF 73.
QT-F-025,book-final-summary,"Huns invaded Gothic territories around 372, forcing refugees toward the Danube.",PDF p. 61,61,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-026,book-final-summary,Emperor Valens permitted approximately two hundred thousand refugees to cross in 376.,PDF p. 62,"62,63",scope_error,major,"The quoted source says no less than 200,000 fighting men, besides women, older men, and children. It is not the total refugee count."
QT-F-027,book-final-summary,Provincial corruption and severe grain shortages triggered a violent Gothic revolt.,PDF p. 63,63,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-028,book-final-summary,Gothic cavalry decisively defeated Roman forces at Adrianople in 378.,PDF p. 66,"65,66",citation_error,minor,The battle and cavalry action are on PDF 66; 378 is supplied on PDF 65.
QT-F-029,book-final-summary,The author notes this catastrophe marked a permanent shift in imperial tactics.,PDF p. 66,"66,67",citation_error,moderate,The explicit permanent reorganization claim is on PDF 67.
QT-F-030,book-final-summary,Theodosius later pacified the region by enlisting Gothic warbands into imperial service.,PDF p. 68,68,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-031,book-final-summary,Gothic commanders Gainas and Alaric exploited court divisions to launch independent campaigns.,PDF p. 73,"73,74,75",overbroad,moderate,PDF 73 contrasts Gainas's court manipulation with Alaric's independent military revolt. The sentence merges those activities.
QT-F-032,book-final-summary,Alaric abandoned the Balkans to launch a major invasion into Italy.,PDF p. 74,"74,75",citation_error,moderate,"The actual invasion of Italy is on PDF 75, not 74."
QT-F-033,book-final-summary,Patriarch John Chrysostom clashed repeatedly with Empress Eudoxia over court morality.,PDF p. 78,78,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-034,book-final-summary,The author attributes the patriarchal exile to personal rivalry rather than doctrine.,PDF p. 79,79,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-035,book-final-summary,Later emperors gradually stabilized the realm through careful administrative reform.,PDF p. 80,"80,81",supported_with_compression,minor,"The cited example is minister Anthemius under Theodosius II. It supports administrative stabilization, less directly the plural emperors."
QT-F-036,book-final-summary,Justinian ultimately inherited a wealthy treasury and a fully reformed military establishment.,PDF p. 97,97,overbroad,minor,"The source describes an intact treasury and army in good order, not a completed comprehensive military reform."
QT-F-037,book-final-summary,The Blues and Greens factions evolved into serious political parties by his reign.,PDF p. 101,101,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
QT-F-038,book-final-summary,Rioting erupted in January five hundred thirty-two when the emperor ordered executions.,PDF p. 15,"15,101,102",citation_and_sequence_error,major,Physical PDF 15 is contents. PDF 101 says street riots preceded the execution order; the botched execution then escalated unrest.
QT-F-039,book-final-summary,A botched hanging ignited six days of desperate urban violence.,PDF p. 14,"14,102",citation_error,major,"Botched hanging and ensuing six days appear on PDF 102, not preface page 14."
QT-F-040,book-final-summary,Empress Theodora delivered a defiant speech that persuaded the emperor to stand and fight.,PDF p. 14,"14,105",citation_error,major,"Theodora's speech and its effect appear on PDF 105, not 14."
QT-F-041,book-final-summary,General Belisarius led the remaining guards into the Hippodrome and massacred the rebels.,PDF p. 13,"13,102,105,106",citation_error,major,"Belisarius's force and assault are on PDF 102 and 105-106, not preface page 13."
QT-F-042,book-final-summary,Contemporary sources claim that thirty-five thousand men perished during this civil disturbance.,PDF p. 12,"12,106",citation_error,major,"The casualty statement is correctly qualified and scoped to the civil disturbance, but cites copyright page 12 instead of PDF 106."
QT-F-043,book-final-summary,The suppression of the urban revolt freed Justinian to pursue territorial reconquest.,PDF p. 15,"15,107",citation_error,major,"The causal link is explicit on PDF 107, not contents page 15."
QT-F-044,book-final-summary,Belisarius commanded a modest expeditionary force and defeated the Vandal army within a single year.,PDF p. 14,"14,110,111",citation_error,major,"The modest expedition and Vandal defeat are on PDF 110-111, not preface page 14."
