model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen36-35b,development-extraction,ok,2452,206,0,2.1541883339996275,4.815267708999272,4.828915249999227,139,130,130,3,0,76.65709263205682,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,development-summary,ok,2388,340,0,1.825615624999955,6.237235249999685,6.251480500000071,232,210,199,11,0,76.60767649595131,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H1-extraction,ok,3595,293,0,2.7989301669995257,6.614927708999858,6.628804166999544,195,187,183,4,0,76.25171631645715,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H1-summary,ok,3489,369,0,2.808283541000492,7.637242458000401,7.651770916000714,243,217,204,13,0,75.99818347820144,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H2-extraction,ok,3733,293,0,3.2292782499998793,7.051152082999579,7.065036416000112,178,170,166,4,0,76.13554734809719,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H2-summary,ok,3630,344,0,2.9975687079995623,7.498683332999462,7.512528707999991,225,199,186,13,0,75.97678344423802,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H3-extraction,ok,3379,167,0,2.8349659579998843,5.0009937079994415,5.0146518749997995,93,81,81,4,0,76.17372933271355,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H3-summary,ok,3275,395,0,2.6821673750000627,7.85909141600041,7.873390208000274,256,234,223,11,0,75.90861065664416,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H4-extraction,ok,4181,246,0,3.544150583999908,6.840217875000235,6.854357250000248,157,149,145,4,0,74.02499265037572,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,H4-summary,ok,4086,388,0,3.2514843330000076,8.368234708000273,8.382177167000009,268,250,241,9,0,75.43512618132966,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,full-source-control,ok,13916,733,0,12.329869208000673,22.688887917000102,22.70561062500019,545,545,545,0,0,70.55883464566018,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen36-35b,merged-summary-synthesis,ok,1700,1494,0,1.4112455000004047,20.955593915999998,20.969267082999977,992,900,854,46,0,76.33821972931376,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
