claim_id,group,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
QT-S02-01,2,"Valens permitted approximately 200,000 refugees to cross in 376.",62,62,scope_error,major,"The quoted source counts at least200,000fighting men, in addition to women, older men, and children. It is not a total refugee estimate."
QT-S02-02,2,Constantine consecrated the city on 11 May 330.,55,"54,55",citation_error,moderate,The date appears onPDF54; PDF55 continues the festival description.
QT-S02-03,2,Zeno directed the Ostrogoths into Italy to displace Odoacer in 488.,89,"89,90",citation_drift,moderate,"PDF89 introduces the488device, but the actual offer to conquer Italy appears onPDF90."
QT-S02-04,2,Theodora’s early biography is uncertain.,"92,93","92,93",supported,none,Oman explicitly questions hostile stories and distinguishes uncertain earlier conduct from her later reputation.
QT-S02-05,2,Eudocia’s exile is uncertain.,"92,93","92,93",unsupported_citation,moderate,These cited pages concern Justinian and Theodora. They do not establish uncertainty about Eudocia.
QT-S02-06,2,A riot eliminated Gainas’s forces.,77,77,scope_overstatement,moderate,"The riot killed7,000and drove out survivors. Gainas and troops outside the city subsequently fought and were defeated separately."
QT-S03-01,3,Most factual sentences end with bare bracketed numbers.,Bare [12]–[17] markers,"101,102,106",required_citations_missing,major,"Required physical-page markers are largely absent. Bare numbers must not be interpreted as PDF citations. Several resemble sentence word counts, but their meaning is not established."
QT-S03-02,3,The failed hanging left two criminals alive.,Bare [14],102,supported_content_uncited,moderate,"The source specifies three people scheduled for hanging, of whom two survived. The content is correct, but its marker supplies no valid physical-page citation."
QT-S03-03,3,"Contemporary sources claim 35,000 deaths during the civil disturbance.",Bare [12],106,supported_qualified_content_uncited,moderate,"The reported figure applies across six days. This preserves qualification and scope better than the baseline summaries, but lacks the required page citation."
QT-S04-01,4,The African exarch Heraclius overthrew Phocas and became emperor.,156,156,identity_conflation,major,"The aged exarch prepared the expedition, but his namesake son commanded the fleet and overthrew Phocas."
QT-S04-02,4,The excerpt ends during Justinian II’s early reign.,174,"174,200",physical_and_printed_page_confusion,major,"The passage ends on physical PDF 200, whose printed page is174. The output labels174as a physical PDF citation. The excerpt-limit observation itself is legitimate."
QT-S04-03,4,Nineveh and the 628 peace restored the lost territories.,164,"164,165,166,167,168",supported_with_date_citation_drift,moderate,"PDF 164 supports Nineveh and the peace terms, including restoration of territory and the True Cross. The explicit March 628 date is on PDF 165, rather than the cited PDF 164. No factual reversal is present."
QT-S05-01,5,Irene’s deposition in 802 prompted the Pope to crown Charlemagne.,226,"225,226",causal_chronology_reversal,critical,"Oman dates Charlemagne’s coronation to 800, before Irene’s deposition in 802. The explanation concerns her female reign, not her later deposition."
QT-S05-02,5,Leo justified his measures by citing cultural decay and theological confusion.,215,"215,216",author_interpretation_as_actor_argument,major,These pages give Oman’s historical interpretation. They do not present an explicit statement of Leo’s justification.
QT-S05-03,5,Basil’s persecution strengthened border piracy.,240,240,supported_cause_imprecise_term,minor,"Oman says persecution drove Paulicians across the Saracen frontier, from where they plundered imperial borders. The causal link is supported; border raiding is more precise than piracy."
QT-S06-01,6,Harsh taxation did no permanent harm because of commercial wealth.,251,251,supported_source_interpretation,none,Oman explicitly makes this argument; not an unsupported causal claim.
QT-S06-02,6,Successive emperors' deliberate policies caused the commercial decline.,294,"293,294",overgeneralization,major,"Oman first explains diverted trade routes, then Alexius's privileges worsening the loss; not all deliberate successive policies."
QT-S06-03,6,Angeli inherited unprecedented foreign pressure.,300,300,contradicted,critical,Oman explicitly says attacks were no more formidable than earlier attacks beaten off.
QT-S07-01,7,Alexius III fled while his restored son failed creditors.,308,"305,310,311",misidentification,critical,"The young Alexius was Isaac II's son, not Alexius III's."
QT-S07-02,7,Alexius V murdered the imperial heirs.,310,"310,311",overbroad_and_citation_error,major,Oman says Isaac died of fright; young Alexius was strangled. The account is on PDF 311.
QT-S07-03,7,"Nicaea, Trebizond, and Epirus formed successor states.",324,"324,325,326",supported_with_locator_drift,minor,All three occur in the source; Epirus is on PDF 326.
QT-S08-01,8,In 1347 only Constantinople and Adrianople remained.,352,"352,354",omission_and_citation_error,major,PDF 354 also lists Thessalonica and the Peloponnesian province.
QT-S08-02,8,Adrianople defeat made the empire a headless trunk.,353,"353,355,356",reversed_metaphor,major,"Oman says a head without a body, reflecting the surviving capital and lost home province."
QT-S08-03,8,Manuel failed to exploit Turkish disunity.,354,"354,360,361,362,363",contradicted,major,Manuel recovered territory; Europe failed to expel the Ottomans. Error survives final QT-F-099.
QT-S08-04,8,1453 siege and death cited throughout as PDF 355.,355,"355,369,370,372,373,374,375",citation_error,major,PDF 355 concerns the 1350s. Later siege passages appear on PDF 369-375; error survives final.
