model,stage,unit_id,output_text,cited_pages,issue_families,precision_families,review_status,unit_definition
gemma26-off,H1-summary,H1-summary-U001,"Around A.D. 372, the Huns moved westward from the Don and Volga, nearly exterminating the Alans before attacking the Goths [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U002,"The Ostrogoths were crushed and forced into vassalage, while a remnant fled toward the Danube [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U003,"The Huns then attacked the Visigoths, who, under Duke Fritigern, retreated to the Danube [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U004,The author notes that the Visigoths found surrender intolerable because they were more civilized and Christian than their eastern brethren [PDF p. 62].,[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U005,"In A.D. 376, the Visigoths requested permission to cross the border [PDF p. 62].",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U006,"The author characterizes the Eastern Emperor, Valens, as a stupid, cowardly, and avaricious prince [PDF p. 62].",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U007,Valens eventually allowed the Goths to settle as subject-allies if they surrendered their arms and provided hostages [PDF p. 63].,[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U008,"However, Roman officials accepted bribes to let the Goths keep their weapons, and the governor, Lupicinus, extorted the immigrants by withholding food [PDF p. 63].",[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U009,"This desperation led to a violent affray at Marcianopolis, prompting Fritigern to take up arms against Rome [PDF p. 64].",[64],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U010,"In A.D. 378, Valens engaged the Goths near Adrianople [PDF p. 65].",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U011,"The author observes that the Goths had learned to fight on horseback, a new development in warfare [PDF p. 65].",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U012,"A Gothic cavalry charge caused a fatal confusion among the Roman infantry, resulting in the death of forty thousand men and the Emperor himself [PDF p. 66].",[66],"[""H1-casualty-citation""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U013,The author describes this as the most fearful Roman defeat since Cannae [PDF p. 67].,[67],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H1-summary,H1-summary-U014,"Although the Goths approached Constantinople, they failed to attack the city walls and retreated [PDF p. 67].",[67],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U001,"The author describes the decay of the Latin tongue in the East, noting that while a large Latin-speaking population existed in the Balkans, this element vanished by the seventh century [PDF p. 169].",[169],"[""H2-Latin-extinction""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U002,The author attributes this decline to the division of the empire and the decimation of Latin-speaking provinces by barbarians like the Visigoths and Slavs [PDF p. 170].,[170],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U003,"By A.D. 620, less than one tenth of provincials east of the Adriatic spoke Latin [PDF p. 170].",[170],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U004,"Simultaneously, the empire became increasingly Christian [PDF p. 171].",[171],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U005,"The author evaluates Christianity as a force that improved the condition of vulnerable classes, such as infants and slaves, by emphasizing the importance of the individual soul [PDF p. 172, 173].","[172, 173]","[""H2-soul-citation""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U006,"However, the author judges the rise of ascetic monasticism as ""positively dangerous"" because it led thousands to abandon civic duties to focus on personal salvation [PDF p. 174].",[174],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U007,"This ""apathetic attitude"" caused many to view barbarian invasions as divine judgments rather than national calamities [PDF p. 175].",[175],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H2-summary,H2-summary-U008,"While the author notes that the governing classes fought to preserve the state, paganism effectively disappeared by the end of the fifth century, replaced by a widespread indifference among the educated classes [PDF p. 175, 176].","[175, 176]",[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U001,The eighty years following the death of Basil the Macedonian were the most monotonous in the empire's history [PDF p. 241].,[241],[],"[""H3-unattributed-monotony""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
