claim_id,output,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
GT-F-001,book-final-summary-completion-retry,C.W.C. Oman notes that earlier historians viewed Byzantium as decadent,13,13,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-002,book-final-summary-completion-retry,Finlay and Bury revised this perception,13,13,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-003,book-final-summary-completion-retry,Megarian colonists founded Byzantium at the Golden Horn,27,27,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-004,book-final-summary-completion-retry,They chose the site following an oracle from Delphi,29,29,qualification_lost,moderate,"The oracle account is introduced as a reported tradition, not an independently established cause."
GT-F-005,book-final-summary-completion-retry,This location provided strategic military and commercial advantages,30,30,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-006,book-final-summary-completion-retry,Vespasian later stripped the city of Roman privileges,34,34,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-007,book-final-summary-completion-retry,Constantine required an effective administrative and military center,42,42,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-008,book-final-summary-completion-retry,He eventually selected the old Megarian city,43,43,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-009,book-final-summary-completion-retry,Legend suggests he traced the city limits with a spear,44,44,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-010,book-final-summary-completion-retry,The city plan included seven surrounding hills,44,44,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-011,book-final-summary-completion-retry,The Milion served as a central point for distances,45,45,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-012,book-final-summary-completion-retry,The imperial palace was situated in the southeast,45,45,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-013,book-final-summary-completion-retry,A large forum known as the Augustaeum sat centrally,45,45,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-014,book-final-summary-completion-retry,The Senate House was modeled to resemble Rome,47,47,misattribution,major,The senate institution was modelled on Rome. Oman says building details do not survive; this sentence transfers the institutional comparison to the Senate House.
GT-F-015,book-final-summary-completion-retry,The Patriarch's Palace was located near the imperial residence,47,47,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-016,book-final-summary-completion-retry,This proximity limited the independence of religious authority,48,48,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-017,book-final-summary-completion-retry,The Hippodrome hosted chariot races and violent political factions,"48, 49","48, 49",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-018,book-final-summary-completion-retry,Constantine chose Byzantium as his capital in 328 A.D.,54,54,qualification_lost,major,Oman gives 328 or 329 and explicitly says the exact date is difficult to fix.
GT-F-019,book-final-summary-completion-retry,"The city was consecrated on May 11, 330 A.D.",54,54,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-020,book-final-summary-completion-retry,He used privileges and corn to attract diverse populations,55,55,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-021,book-final-summary-completion-retry,The name New Rome was used mainly in poetry,56,56,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-022,book-final-summary-completion-retry,"Constantine died on May 22, 337 A.D.",57,57,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-023,book-final-summary-completion-retry,His successors faced civil wars and barbarian threats,57,"57,60,61",overbroad,minor,PDF 57 describes civil wars but a temporary respite from major invasions. Later pages supply renewed barbarian threats.
GT-F-024,book-final-summary-completion-retry,Goths had settled peacefully near the Danube,60,60,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-025,book-final-summary-completion-retry,Huns attacked the Goths around 372 A.D.,61,61,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-026,book-final-summary-completion-retry,Emperor Valens allowed the Visigoths to settle as subject-allies,63,63,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-027,book-final-summary-completion-retry,Corrupt officials then extorted food from the starving Goths,63,63,reversed_action,major,"Officials withheld food and charged exorbitant prices. They extorted wealth from hungry Goths, not food from them."
GT-F-028,book-final-summary-completion-retry,Fritigern led a revolt against these corrupt officials,64,64,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-029,book-final-summary-completion-retry,Gothic cavalry proved decisive at the Battle of Adrianople,"65, 66","65, 66",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-030,book-final-summary-completion-retry,The resulting defeat decimated the Eastern Roman legions,67,67,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-031,book-final-summary-completion-retry,Theodosius attempted to stabilize the empire through peace treaties,68,68,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-032,book-final-summary-completion-retry,He enlisted Gothic war-bands to serve as imperial auxiliaries,69,"68,69",citation_error,moderate,Enlistment is narrated on PDF 68. PDF 69 is an illustration with unusable extracted text.
GT-F-033,book-final-summary-completion-retry,The author argues this experiment was dangerous for the empire,69,"69,70",citation_error,major,"The author's political-danger judgment appears on PDF 70, not the cited illustration page 69."
GT-F-034,book-final-summary-completion-retry,Theodoric conquered Italy for Emperor Zeno in 488 A.D.,90,90,chronology_error,major,488 dates Zeno's offer and Theodoric's departure. The text does not date the completed conquest to 488.
GT-F-035,book-final-summary-completion-retry,Justinus took the throne in 518 A.D.,91,91,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-036,book-final-summary-completion-retry,His nephew Justinian married the actress Theodora in 526 A.D.,"92, 93","91,92,93",supported_with_compression,minor,The nephew relationship is on PDF 91. PDF 92 dates the declared intention to marry; PDF 93 confirms the marriage before Justinus died.
GT-F-037,book-final-summary-completion-retry,Theodora was an intelligent and highly influential councillor,94,"93,94",citation_error,moderate,"The intelligence and trusted-councillor assessment is on PDF 93, not illustration page 94."
GT-F-038,book-final-summary-completion-retry,Justinian aimed to reconquer the lost Western provinces,99,99,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-039,book-final-summary-completion-retry,He fought an indecisive war with the Persians,100,100,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-040,book-final-summary-completion-retry,The general Belisarius proved to be a vital asset,100,100,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-041,book-final-summary-completion-retry,Justinian managed vast revenue through intense taxation,"98, 99","98, 99",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-042,book-final-summary-completion-retry,"In 532, the violent six-day Nika riot erupted",102,"101,102",citation_error,minor,532 is on PDF 101; the six-day duration and escalation are on PDF 102.
GT-F-043,book-final-summary-completion-retry,The mob demanded the removal of several officials,102,102,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-044,book-final-summary-completion-retry,Empress Theodora refused to flee the city,105,105,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-045,book-final-summary-completion-retry,Belisarius ultimately routed the rebels in the Hippodrome,105,105,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-046,book-final-summary-completion-retry,"This massacre resulted in approximately 35,000 deaths",106,"105,106",scope_error,major,"35,000 is a reported total for six days of the Nika sedition, not the final Hippodrome massacre alone. Approximately does not preserve the reported-source qualification."
GT-F-047,book-final-summary-completion-retry,Belisarius defeated the Vandals in 533,110,"110,111",citation_error,moderate,PDF 110 dates the departure. The Vandal defeats and kingdom's end are on PDF 111.
GT-F-048,book-final-summary-completion-retry,Justinian also targeted the Ostrogothic kingdom in Italy,108,"107,108",supported_with_locator_drift,minor,The reconquest objective and Italian kingdom are introduced on PDF 107; PDF 108 describes its vulnerability.
GT-F-049,book-final-summary-completion-retry,A great plague struck the empire in 542,127,127,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-050,book-final-summary-completion-retry,"This pestilence killed 5,000 people daily in Constantinople",127,127,qualification_lost,major,"The daily 5,000 deaths are explicitly said to have occurred, rather than an unqualified measured count."
GT-F-051,book-final-summary-completion-retry,Justinian is noted for his legal codes and architecture,"132, 138","132, 138",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-052,book-final-summary-completion-retry,Successors of Justinian faced increasing chaos and invasions,140,140,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-053,book-final-summary-completion-retry,The Lombards invaded Italy in 568,141-142,141-142,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-054,book-final-summary-completion-retry,Avars and Slavs attacked the Balkan frontiers,148,148,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-055,book-final-summary-completion-retry,"In 602, the Danube army elected Phocas",153,153,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-056,book-final-summary-completion-retry,Phocas executed Maurice and his five sons,153,153,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-057,book-final-summary-completion-retry,Heraclius overthrew Phocas in 610,"156, 157","156, 157",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-058,book-final-summary-completion-retry,Heraclius reclaimed the holy places by 628,"161, 164, 165","161, 164, 165",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-059,book-final-summary-completion-retry,The Saracen invasion struck the weakened Roman powers,185,185,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-060,book-final-summary-completion-retry,The empire reorganized into military districts called Themes,"193, 194","193, 194",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-061,book-final-summary-completion-retry,Constantine IV defended Constantinople from a massive Arab siege,"196, 197","196, 197",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-062,book-final-summary-completion-retry,Leo the Isaurian defended Constantinople against a Saracen siege,211,211,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-063,book-final-summary-completion-retry,Leo initiated the Iconoclastic movement to oppose image worship,215,215,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-064,book-final-summary-completion-retry,Constantine V intensified these persecutions against the monks,222-223,222-223,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-065,book-final-summary-completion-retry,Irene blinded her son to maintain her authority,225,225,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-066,book-final-summary-completion-retry,Theodora ended the iconoclastic era in 842,237,"237,238",supported_with_locator_drift,minor,The reversal begins on PDF 237 and the end of persecution is explicit on PDF 238.
GT-F-067,book-final-summary-completion-retry,Basil the Macedonian founded a stable dynasty,240,240,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-068,book-final-summary-completion-retry,His successors were literary emperors who focused on administration,"241, 243","241,243",unsupported_emphasis,major,Oman emphasizes literary pursuits. Constantine spent years excluded from government under Romanus; an administrative focus is not supported by these citations.
GT-F-069,book-final-summary-completion-retry,Nicephorus Phocas conquered Crete and advanced into Syria,"254, 256","254, 256",supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-070,book-final-summary-completion-retry,Basil II fought the Bulgarian King Samuel,267,267,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-071,book-final-summary-completion-retry,The Macedonian dynasty ended with the death of Theodora,274,274,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
GT-F-072,book-final-summary-completion-retry,Romanus Diogenes lost at Manzikert in 1071,280,280,supported,none,Checked against the supplied physical PDF page(s); no material discrepancy found.
