claim_id,output,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
Q-E-01,book-chunk01-part01,Preface challenges Gibbon and follows Finlay/Bury,13-14,13,Supported with locator drift,minor,"Following Finlay/Bury is on 13, not 14."
Q-E-02,book-chunk01-part01,Acquaintance with chroniclers justifies the task,14,14,Qualification lost,moderate,"Oman says some acquaintance may justify it, and disclaims studying all chroniclers."
Q-E-03,book-chunk01-part01,Megarian foundation and oracle guidance,"27,29","27,29",Broadly supported; legend unmarked,minor,Relative date anchored to book writing; oracle should remain reported tradition.
Q-E-04,book-chunk01-part01,"Independence, Persian rule, and Athenian captures",31-32,31-32,Supported,none,"Thirty Persian years, Ionic revolt, surrender, and treachery present."
Q-E-05,book-chunk01-part01,Severus destroyed walls and confiscated property,35,35-36,Citation incomplete,minor,Property sentence continues on 36.
Q-E-06,book-chunk01-part01,Gothic raids nearly exterminated Megarian population,36,36,Agent conflation; qualification lost,critical,"Oman assigns the 263 sack to Gallienus's soldiers, with extermination qualified as it is said. Gothic attacks harmed trade."
Q-E-07,book-chunk01-part01,Constantine besieged Licinius and gained surrender in 323,37-38,37-38,Supported,none,Year and surrender supported across adjacent pages.
Q-E-08,book-chunk01-part01,Constantine selected a convenient capital,41-42,39-43,Supported,none,Administrative and frontier arguments present.
Q-E-09,book-chunk01-part01,Marked seven-hill boundaries,43,44,Citation drift; legend qualification lost,moderate,Procession introduced as a picturesque later legend on 44.
Q-E-10,book-chunk01-part01,"Palace, Augustaeum, Senate House, Baths",45-46,"45,47",Material miscitation and compression,moderate,46 is a map. Narrative describes enlarging existing baths.
Q-E-11,book-chunk01-part01,Hippodrome rivalry and monuments,"48,50","48,50",Supported,none,"Rivalry, obelisk, and bronze serpent in text."
Q-E-12,book-chunk01-part01,This section ends before later history,50,50,Supported section limitation,none,Correct for pages 1-50; must not become a whole-book absence claim.
