check_id,section,claim,checked_pdf_pages,verdict,severity,reviewer_note
G-S-01,early,Preface rejects blanket decadence and acknowledges chroniclers,13-14,Supported with nuance loss,minor,The source qualifies its limited acquaintance with chroniclers.
G-S-02,early,"Foundation, Delphic oracle legend, trade and defensive site","27,29-31",Supported,none,Legend remains explicit; relative foundation date needs historical anchoring.
G-S-03,early,"Alexander, free Roman confederate status, Vespasian",34,Supported,none,All appear on the cited page; Alexander is not an invented name.
G-S-04,early,"Severus, Gothic raids, usurpers, Licinius and Constantine",35-38,Supported,none,Avoids attributing the Gallienus massacre to Goths.
G-S-05,early,Practical Constantine and strategic site choice,39-43,Supported attribution,none,Matches the author's interpretation.
G-S-06,early,"Milion, palace, baths, senate and patriarch proximity",44-48,Supported,none,Buildings and the argument about episcopal dependence are present.
G-S-07,early,"Hippodrome factions, obelisk and serpent monument",48-50,Supported with locator drift,minor,Page 49 is an illustration; faction narrative begins on 48.
G-S-08,middle,"695 deposition, mutilation and banishment of Justinian II",201,Supported,none,Leontius and monk Paul are present.
G-S-09,middle,Carthage falls in 697; Tiberius III succeeds Leontius,202-203,Supported,none,Military and succession details match.
G-S-10,middle,Justinian escapes Cherson by killing Khazar officers,204,Conflated itinerary,major,"He first flees Cherson to the Khazars, then kills two officers to escape their ruler."
G-S-11,middle,"705 restoration, terror, death in 711",205-206,Supported,none,"Bulgarian help, executions and Philippicus are present."
G-S-12,middle,Leo becomes emperor in 717 and repulses siege,208-213,Supported with citation drift,minor,Accession date on 209; siege outcome on 213.
G-S-13,middle,Leo saves Christendom from Moslem danger,213,Supported attribution,none,Kept as the author's interpretation.
G-S-14,middle,"Iconoclasm, Irene, Basil and literary revival",215-249,Supported but compressed,minor,Broad succession is accurate; intervening rulers receive little coverage.
G-S-15,middle,Specific details of Leo's reforms are lacking,220,Partly supported,moderate,"Oman lacks fuller details but gives several legal, financial and administrative changes."
G-S-16,late,Andronicus III dies in 1341; young heir called John III,351,Source-faithful conflict unflagged,moderate,Same source calls John Paleologus John V on 356.
G-S-17,late,Cantacuzenus calls on Dushan and Turkish princes,351-354,Supported attribution,none,Damaging alliances and the author's criticism preserved.
G-S-18,late,Dushan dies in 1355 and Serbian polity fragments,353-354,Supported,none,Sequence and consequences present.
G-S-19,late,"1347 settlement, 1354 removal and Gallipoli foothold",354-355,Supported,none,Key events match supplied narrative.
G-S-20,late,Murad reduces empire and John becomes vassal,355-356,Supported,none,Broad political relationship supported.
G-S-21,late,Emperor compelled to aid Philadelphia siege,356-357,Citation incomplete,minor,356 introduces the episode; details continue on 357.
G-S-22,late,"1453 siege, seventy thousand attackers and emperor's death",372-374,Supported,none,"Dates, army size and Janissary assault match."
G-S-23,late,Mohammed personally proclaims faith in St Sophia,375,Agent imprecision,minor,He orders a mollah to recite the formula; summary compresses this action.
G-S-24,late,Emperor table and index follow narrative,"377,379",Supported,none,Reference material acknowledged.
