model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
gemma4-26b,development-extraction,ok,2451,71,0,1.9670862499999995,3.007630624999999,3.023532874999999,44,42,41,1,0,66.30564819928067,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,development-summary,ok,2387,300,0,1.661382541,7.007401665999998,7.027012832999999,204,185,176,9,0,55.73450245306372,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H1-extraction,ok,3552,290,0,2.9948421250000017,8.340455334000001,8.361368625,182,174,170,4,0,53.86358460105349,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H1-summary,ok,3442,338,0,2.9032460410000027,9.239200416000003,9.259737958000002,216,193,182,11,0,53.022544651040064,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H2-extraction,ok,3744,349,0,3.4587319580000013,10.246335332999998,10.267658624999996,232,220,220,4,0,51.11639379129705,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H2-summary,ok,3642,295,0,3.3633905829999975,9.112371707999998,9.132054582999999,198,181,173,8,0,50.96846144417921,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H3-extraction,ok,3369,244,0,3.2248932909999937,7.9713409159999955,7.995284750000003,156,148,144,4,0,50.97463288300147,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H3-summary,ok,3262,351,0,3.2408968329999936,10.124767332999994,10.144948999999997,217,195,184,11,0,50.70069078966905,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H4-extraction,ok,4096,232,0,4.047240416000008,8.61677300000001,8.637658208000005,149,141,137,4,0,50.33149060522419,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,H4-summary,ok,3998,368,0,3.735461000000001,11.035402542,11.055501875000004,244,224,214,10,0,50.14303745479953,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,full-source-control,ok,13773,779,0,15.856866167000021,33.47085262500002,33.495747542000004,548,548,524,0,24,44.11290340413833,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
gemma4-26b,merged-summary-synthesis,ok,1557,1280,0,1.455783917000005,26.554023500000014,26.574062874999996,845,763,723,40,0,50.92309151978434,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
