model,stage,span,family,dimension,judgment,evidence_pages,reason,origin
gemma26-off,H1-summary,death of forty thousand men,H1-casualty-citation,citation,partially supported citation,"[66, 67]","Cites PDF66 for the 40,000 toll and emperor's death; those details occur on PDF67. The cavalry collapse is on66.",direct; inherited in merged
gemma26-off,merged-summary-synthesis,death of forty thousand men,H1-casualty-citation,citation,partially supported citation,"[66, 67]","Cites PDF66 for the 40,000 toll and emperor's death; those details occur on PDF67. The cavalry collapse is on66.",direct; inherited in merged
gemma26-off,H2-summary,this element vanished by the seventh century,H2-Latin-extinction,qualification,qualification loss,"[169, 170]","The source says rapidly vanishing, with surviving Latin speakers and less than one tenth in620. Vanished overstates extinction.",direct
gemma26-off,merged-summary-synthesis,population in the Balkans vanished by the seventh century,H2-Latin-extinction,qualification,qualification loss,"[169, 170]",Inherits the direct summary's overstatement despite retaining the later less-than-one-tenth sentence.,inherited
gemma26-off,H2-summary,importance of the individual soul,H2-soul-citation,citation,partially supported citation,"[171, 173, 174]","Cites172/173. Page172 is OCR noise; page173 supports slaves' souls, while the general causal account covering vulnerable classes is174.",direct; inherited in merged
gemma26-off,merged-summary-synthesis,importance of the individual soul,H2-soul-citation,citation,partially supported citation,"[171, 173, 174]","Cites172/173. Page172 is OCR noise; page173 supports slaves' souls, while the general causal account covering vulnerable classes is174.",direct; inherited in merged
gemma26-off,merged-summary-synthesis,paganism disappeared by the end of the fifth century,H2-paganism-extinction,qualification,qualification loss,[176],Direct summary said effectively disappeared. Merged drops that qualification; the source says practically disappeared as an active force and allows surviving philosophers.,new in merged
gemma26-off,full-source-control,The author describes the Huns as savages,H1-quoted-historian-attribution,attribution,quoted testimony assigned to narrator,[61],"The physical caricature is attributed by Oman to a Gothic historian, not offered as Oman's own description.",independent full-source control
qwen35-off-mtp,H2-summary,extermination of Latin-speaking populations by Slavs,H2-Latin-extinction,qualification,qualification loss,[170],"Source says almost exterminated, followed by surviving Latin-speaking communities. Preserve the limiting qualifier.",direct; inherited in merged
qwen35-off-mtp,merged-summary-synthesis,extermination of Latin-speaking populations by Slavs,H2-Latin-extinction,qualification,qualification loss,[170],"Source says almost exterminated, followed by surviving Latin-speaking communities. Preserve the limiting qualifier.",direct; inherited in merged
qwen35-off-mtp,H2-summary,paganism vanished,H2-paganism-extinction,qualification,qualification loss,[176],"Source says practically disappeared as an active force, with a few remaining philosophers. The output removes both limits.",direct; inherited in merged
qwen35-off-mtp,merged-summary-synthesis,paganism vanished,H2-paganism-extinction,qualification,qualification loss,[176],"Source says practically disappeared as an active force, with a few remaining philosophers. The output removes both limits.",direct; inherited in merged
qwen35-off-mtp,H4-summary,When Murad II unified the Ottoman realm,H4-unifier-identity,factual,contradiction,"[362, 363]",Mohammed/Mahomet reunited it. His son Murad later reversed Manuel's gains. The same model answered H4-Q1 correctly.,direct; inherited in merged
qwen35-off-mtp,merged-summary-synthesis,When Murad II unified the Ottoman realm,H4-unifier-identity,factual,contradiction,"[362, 363]",Mohammed/Mahomet reunited it. His son Murad later reversed Manuel's gains. The same model answered H4-Q1 correctly.,direct; inherited in merged
qwen35-off-mtp,H4-summary,"Finally, John VIII.",H4-unsupplied-imperial-number,source_fidelity,unsupported external correction,"[365, 366, 367]",The supplied text calls this ruler JohnVI throughout. The output switches toVIII after itself usingVI; source matching must not silently correct Oman.,direct; inherited in merged
qwen35-off-mtp,merged-summary-synthesis,"Finally, John VIII.",H4-unsupplied-imperial-number,source_fidelity,unsupported external correction,"[365, 366, 367]",The supplied text calls this ruler JohnVI throughout. The output switches toVIII after itself usingVI; source matching must not silently correct Oman.,direct; inherited in merged
qwen35-off-mtp,H4-summary,physical decay of Constantinople and its economic dependence on Italian merchants,H4-urban-citation,citation,partially supported citation,"[365, 366]","Cites365, which introduces descriptions; specific physical decay and Italian commercial control appear on366.",direct; inherited in merged
qwen35-off-mtp,merged-summary-synthesis,physical decay of Constantinople and its economic dependence on Italian merchants,H4-urban-citation,citation,partially supported citation,"[365, 366]","Cites365, which introduces descriptions; specific physical decay and Italian commercial control appear on366.",direct; inherited in merged
qwen35-off-mtp,full-source-control,these gains were reversed when Murad II unified the Turkish realm,H4-unifier-identity,factual,contradiction,"[360, 362, 363]",Mohammed reunified the realm; Murad's later war reversed the gains. Also cites360 before either development.,"recurrent in independent full-source control, not propagated"
qwen35-off-mtp,full-source-control,This religious shift coexisted with a literary revival under the Macedonian dynasty,cross-gap-false-contemporaneity,chronology,unsupported temporal linkage,"[171, 174, 241, 247]","Links fourth/sixth-century Christianization and ascetic withdrawal to ninth/tenth-century literary rulers as coexisting, inventing a relation across the gaps.",new in independent full-source control
qwen35-off-mtp,full-source-control,"The last emperor, John VIII",H4-last-emperor,factual,unsupported identity and terminal status,[367],"The source says the last John Paleologus, not the last emperor. It calls himJohnVI. The sentence also cites366 rather than367 for Florence and Western aid.",new last-emperor claim in independent control; imperial-number issue recurs independently
gptoss120-medium,H2-summary,ended gladiatorial games in Constantinople,H2-gladiator-location,factual,contradiction,[171],The source says Christian Constantinople never knew gladiatorial games; the surviving games were at Rome.,direct; inherited in merged
gptoss120-medium,merged-summary-synthesis,ended gladiatorial games in Constantinople,H2-gladiator-location,factual,contradiction,[171],The source says Christian Constantinople never knew gladiatorial games; the surviving games were at Rome.,direct; inherited in merged
gptoss120-medium,H2-summary,"Theodosius I’s moral crusade, including the spectacular death of the monk Telemachus",H2-gladiator-agency,factual,agency conflation,[171],"The source explicitly distinguishes Theodosius’s state measures from Telemachus’s later individual action, saying abolition was not the work of the State.",direct; inherited in merged
gptoss120-medium,merged-summary-synthesis,"Theodosius I’s moral crusade, including the spectacular death of the monk Telemachus",H2-gladiator-agency,factual,agency conflation,[171],"The source explicitly distinguishes Theodosius’s state measures from Telemachus’s later individual action, saying abolition was not the work of the State.",direct; inherited in merged
gptoss120-medium,H3-summary,Leo VI the Wise and his grandson Constantine VII,H3-dynastic-relationship,factual,contradiction,[241],"Leo is Basil’s son and Constantine his grandson. Constantine is Leo’s son, not Leo’s grandson.",direct; inherited in merged
gptoss120-medium,merged-summary-synthesis,Leo VI the Wise and his grandson Constantine VII,H3-dynastic-relationship,factual,contradiction,[241],"Leo is Basil’s son and Constantine his grandson. Constantine is Leo’s son, not Leo’s grandson.",direct; inherited in merged
gptoss120-medium,H3-summary,was retaken when the attack was delayed a few weeks,H3-counterfactual-rescue,factual,counterfactual made factual,[242],The source says the town could have been rescued if its fall had been delayed. It was captured; the raiders departed with booty. No successful delayed rescue is narrated.,direct; inherited in merged
gptoss120-medium,merged-summary-synthesis,was retaken when the attack was delayed a few weeks,H3-counterfactual-rescue,factual,counterfactual made factual,[242],The source says the town could have been rescued if its fall had been delayed. It was captured; the raiders departed with booty. No successful delayed rescue is narrated.,direct; inherited in merged
gptoss120-medium,full-source-control,repelled only by a “miraculous vision of the Virgin”,H4-vision-siege-cause,factual,causal contradiction and lost report status,"[363, 365]",Walls repelled the assault; the report of a vision encouraged resistance. Mustapha’s rebellion caused Murad to lift the siege. The output makes the vision the sole cause and removes report status.,new in independent full-source control
gptoss120-medium,full-source-control,only isolated enclaves—African cities and the Italian Exarchate—still preserved the language,H2-Latin-enclave-scope,qualification,qualification loss,[170],"Source also preserves Dalmatian ports and scattered Balkan survivors. Africa/Italy are the only districts with a considerable Latin population still obeying the emperor, not all surviving Latin speakers.",new in independent full-source control
