model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-gemma31,development-extraction,ok,2451,164,0,9.462767083000017,22.07629804100003,22.159559333000004,92,84,80,4,0,12.83968044162199,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,development-summary,ok,2387,301,0,8.565229541999997,31.60935841700001,31.686951667000017,194,172,161,11,0,12.974756055124029,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H1-extraction,ok,3552,217,0,12.970494333000033,29.661496958000043,29.740939875000038,116,104,98,6,0,12.879871997923956,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H1-summary,ok,3442,344,0,12.792041708,39.69791412500001,39.778048625,204,182,171,11,0,12.710261257011487,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H2-extraction,ok,3744,184,0,14.052921374999983,28.453923625000016,28.53729445800002,101,93,89,4,0,12.636894511485968,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H2-summary,ok,3642,302,0,13.530606457999966,37.42098066699998,37.49935616699997,200,176,166,11,0,12.558048117183528,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H3-extraction,ok,3369,198,0,12.9635156249999,28.613656375000005,28.69482845899995,119,111,107,4,0,12.522888439180875,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H3-summary,ok,3262,301,0,12.416955583000004,36.365369833000045,36.44585070800008,202,180,169,11,0,12.48500810630768,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H4-extraction,ok,4096,231,0,16.14706012499994,34.64765975,34.72653566600002,145,137,133,4,0,12.381893558675184,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,H4-summary,ok,3998,409,0,15.523508917000072,48.259112334000065,48.34021683399999,236,210,197,13,0,12.432886031817095,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,full-source-control,ok,13773,633,0,62.812091459000044,117.23466687500002,117.3223354590001,408,366,345,21,0,11.594252670246282,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma31,merged-summary-synthesis,ok,1561,1278,0,6.033892000000037,106.49431879200006,106.57389475000002,796,705,661,45,0,12.701302339025887,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
