model,stage,coverage_id,criterion,evidence_pages,judgment,detail,note
gemma26-off,H1-summary,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H1-summary,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H1-summary,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only; no Ad Salices,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H1-summary,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],partial,retreat reported; defensive deterrence not explicit,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H2-summary,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H2-summary,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,social improvement; no slavery-persistence qualification,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H2-summary,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",partial,withdrawal critique; no later learned monasticism,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H2-summary,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],partial,governing classes only; no pagan argument or Orosius,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H3-summary,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H3-summary,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,raid and sons' removal; no transient occupation or sons forcing Romanus out,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H3-summary,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,organized army/manual; no tactical caution or naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H3-summary,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",partial,books and compiler; literary recovery omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H4-summary,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",partial,critical judgment; limited inheritance omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H4-summary,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H4-summary,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,H4-summary,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",partial,decline and Western aid; vassalage and Thessalonica omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
