model,question_id,question,answerability,output_answer,judgment,reason,evidence_pages,gold_answer,cited_pages,citation_support,quotation,quotation_note,format_notes
gemma26-off,H1-Q1,Who led the Visigoths as they retreated toward the Danube?,stated,"The Visigoths were led by their Duke Fritigern. ""the Visigoths, under their Duke Fritigern, fell back in dismay"" [PDF p. 61].",fully_supported,Required answer meaning is supported by the supplied passage.,[61],Fritigern.,[61],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H1-Q2,"What two conditions did Valens impose for admission, and what happened to the arms condition?",stated,"Valens required the Goths to provide hostages and surrender their arms. ""if the Goth would give hostages, and surrender their arms, they should be ferried across the Danube"" [PDF p. 63]. The arms condition was not met because Roman officials accepted bribes to allow the Goths to keep their weapons. ""the bribes were accepted and the Goths retained their arms"" [PDF p. 63].",fully_supported,Required answer meaning is supported by the supplied passage.,[63],"Hostages and surrender of arms; officials accepted bribes, allowing the Goths to retain weapons.",[63],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H1-Q3,"According to this passage, how did Lupicinus’s food policy contribute to revolt?",stated,"Lupicinus withheld food to increase his own wealth and sold provisions at very high prices. ""the governor, Lupicinus, to fill his own pockets, held back the food, and doled out what he chose to give at exorbitant prices"" [PDF p. 63].",partial,States withholding and high prices but omits the causal link through hunger/desperation to revolt.,"[63, 64]",He withheld provisions and charged exorbitant prices; hunger and extortion drove desperation before the banquet clash.,[63],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H1-Q4,What result does the passage give for the battle at Ad Salices?,stated,"The battle resulted in the thinning of the ranks for both sides but did not produce a decisive outcome. ""A desperate pitched battle at Ad Salices... thinned the ranks of both sides, but led to no decisive result"" [PDF p. 64].",fully_supported,Required answer meaning is supported by the supplied passage.,[64],It thinned both sides but produced no decisive result.,[64],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H1-Q5,What was the exact number of Roman soldiers killed at Ad Salices?,not_stated,Not stated in the supplied passage.,correct_absence,Source-absent after review of the complete supplied passage.,[],Not stated in the supplied passage.,[],not_applicable,not_applicable,,"[""adds period to exact absence phrase""]"
gemma26-off,H2-Q1,"Who intervened in the gladiatorial games, in what year, and what happened to him?",stated,"The monk Telemachus intervened in the gladiatorial games in A.D. 404 and was slain during an angry scuffle. ""One day in A.D. 404 the games had begun... when the monk Telemachus leapt down into the arena... there was an angry scuffle, and the good monk was slain"" [PDF p. 171].",fully_supported,Required answer meaning is supported by the supplied passage.,[171],The monk Telemachus intervened in AD 404 and was killed.,[171],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H2-Q2,"Who made infanticide a capital offence, and when?",stated,"Valentinian I. made infanticide a capital offence in 374. ""Valentinian I. in 374 assimilated infanticide to other forms of murder, and made it a capital offence"" [PDF p. 173].",fully_supported,Required answer meaning is supported by the supplied passage.,[173],Valentinian I in 374.,[173],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H2-Q3,Did the passage claim Christianity immediately ended slavery? State its qualification.,stated,"No, the passage states that slavery was not extinguished for centuries. ""Though slavery was not extinguished for centuries, its evils were immensely modified"" [PDF p. 173].",fully_supported,Required answer meaning is supported by the supplied passage.,"[173, 174]","No. Slavery persisted for centuries, although Oman says its evils were modified.",[173],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H2-Q4,Why did Oman regard widespread ascetic monasticism as politically dangerous?,stated,"Oman regarded ascetic monasticism as dangerous because it caused men to retire from their duties as citizens to focus solely on saving their own souls. ""When men retire from their duties as citizens, intent on nothing but on saving their own souls, take up a position outside the State, and cease to be of the slightest use to society, the result may be harmless so long as their numbers are small"" [PDF p. 174].",fully_supported,Required answer meaning is supported by the supplied passage.,"[174, 175]",He argued it diverted many people from civic duties and weakened the state’s response to invasions.,[174],supports stated content; partial-answer omissions remain separate,supporting_quote_present,,[]
gemma26-off,H2-Q5,How many monasteries existed in the empire in AD 404?,not_stated,Not stated in the supplied passage.,correct_absence,Source-absent after review of the complete supplied passage.,[],Not stated in the supplied passage.,[],not_applicable,not_applicable,,"[""adds period to exact absence phrase""]"
